Data Medicao;SAO MATEUS;VITORIA;LINHARES
2006-11-30;23.885397;24.328038;23.943857
2006-12-31;24.977724;25.09342;25.094171
2007-01-31;26.301479;26.348118;26.331855
2007-02-28;25.283941;25.765897;25.593841
2007-03-31;25.848066;26.649103;26.414317
2007-04-30;24.812361;25.34625;25.260417
2007-05-31;22.599227;22.90724;22.874396
2007-06-30;21.18558;21.978104;22.186473
2007-07-31;21.409631;22.387588;22.038748
2007-08-31;20.948855;21.667742;21.555885
2007-09-30;21.52;22.080694;21.99625
2007-10-31;23.399924;24.195027;23.936179
2007-11-30;25.035694;25.187917;25.262917
2007-12-31;25.429301;26.018952;25.723118
2008-01-31;25.039247;25.347715;25.237903
2008-02-29;25.702443;26.172768;26.127874
2008-03-31;25.644136;25.896491;25.933796
2008-04-30;25.633333;26.077639;26.046944
2008-05-31;22.465001;22.673849;22.850374
2008-06-30;21.614839;21.781001;21.914777
2008-07-31;20.374597;20.954973;20.838844
2008-08-31;21.663306;22.629032;22.310338
2008-09-30;22.188194;22.349861;22.563889
2008-10-31;24.176747;24.544489;24.570161
2008-11-30;24.035;23.850556;23.977307
2008-12-31;24.614651;25.042083;24.737189
2009-01-31;25.699421;26.084812;25.952975
2009-02-28;26.451543;27.126598;26.837243
2009-03-31;26.311694;26.725672;26.692204
2009-04-30;24.845972;24.778333;24.895833
2009-05-31;22.701613;23.00914;22.921505
2009-06-30;21.687222;21.460139;21.807222
2009-07-31;21.947715;22.298253;22.207392
2009-08-31;21.962231;22.120565;21.998656
2009-09-30;24.005833;24.273889;24.15
2009-10-31;24.403261;24.416954;24.534689
2009-11-30;25.583611;26.486111;25.887083
2009-12-31;26.579167;26.865591;26.737769
2010-01-31;27.246944;27.992361;27.770919
2010-02-28;27.080357;27.823512;27.542327
2010-03-31;26.623522;26.942473;26.93535
2010-04-30;24.577315;25.031945;24.599722
2010-05-31;null;23.261559;23.454839
2010-06-30;null;20.643472;21.15887
2010-07-31;21.286425;21.491263;21.556303
2010-08-31;20.618895;20.964212;20.926794
2010-09-30;22.264445;22.773333;22.071738
2010-10-31;23.355511;23.531586;null
2010-11-30;24.24875;24.435556;null
2010-12-31;25.783199;26.534409;26.204301
2011-01-31;25.941667;26.689516;26.442339
2011-02-28;26.26602;26.876488;26.576339
2011-03-31;25.53742;25.25623;25.671043
2011-04-30;24.560556;24.7275;24.657639
2011-05-31;22.240457;22.405833;22.399462
2011-06-30;21.295556;21.534583;21.437575
2011-07-31;20.590995;21.101613;21.042
2011-08-31;21.360203;22.344489;21.986425
2011-09-30;21.003736;21.744722;21.472994
2011-10-31;23.001613;23.188844;22.895699
2011-11-30;22.844444;22.970278;22.805833
2011-12-31;24.685753;24.877016;24.732661
2012-01-31;25.278898;25.410326;25.300941
2012-02-29;25.326724;25.921695;25.660776
2012-03-31;25.451882;26.090995;25.640305
2012-04-30;25.0925;25.30625;25.144167
2012-05-31;22.712083;22.274324;22.430376
2012-06-30;22.778194;22.887933;22.929281
2012-07-31;21.346909;21.759946;21.68172
2012-08-31;21.321389;21.360139;21.27535
2012-09-30;22.225278;22.660833;22.342222
2012-10-31;23.53172;24.055242;23.742339
2012-11-30;24.266806;24.223889;24.206111
2012-12-31;26.258737;27.226882;26.644758
2013-01-31;25.977554;26.382527;26.241935
2013-02-28;26.150893;26.786458;26.603125
2013-03-31;26.500575;26.06954;26.463462
2013-04-30;24.125417;24.064306;23.87662
2013-05-31;22.813441;22.786559;null
2013-06-30;22.531566;22.494343;null
2013-07-31;21.754301;21.808737;21.912658
2013-08-31;21.315188;21.69328;21.697446
2013-09-30;22.198132;22.75546;22.570972
2013-10-31;22.788979;23.402285;22.950403
2013-11-30;24.23875;24.283195;24.20625
2013-12-31;25.261694;25.322581;25.247043
2014-01-31;25.60914;26.471371;26.257124
2014-02-28;25.669196;26.529911;26.160863
2014-03-31;25.429704;26.416532;25.655242
2014-04-30;24.665417;25.320574;25.002699
2014-05-31;23.19086;23.145504;23.323925
2014-06-30;22.207639;22.217874;22.285833
2014-07-31;21.281452;21.268068;21.35121
2014-08-31;21.109005;21.626478;21.581183
2014-09-30;22.296945;23.285;22.81003
2014-10-31;22.759005;23.235081;23.148394
2014-11-30;24.280972;25.069861;24.510695
2014-12-31;25.119892;26.217608;25.499059
2015-01-31;26.320097;27.452349;26.820332
2015-02-28;26.436905;27.167857;26.732887
2015-03-31;25.976882;26.801344;26.382661
2015-04-30;24.632917;25.1025;25.186389
2015-05-31;22.906317;22.761364;23.233586
2015-06-30;22.215694;null;21.726593
2015-07-31;21.441129;22.254032;null
2015-08-31;21.450403;22.058468;null
2015-09-30;24.059861;24.632639;null
2015-10-31;24.564516;25.240995;null
2015-11-30;26.418889;26.751528;26.808114
2015-12-31;27.113441;27.53293;27.558468
2016-01-31;26.145968;26.731855;26.420699
2016-02-29;27.046695;28.173276;27.707328
2016-03-31;26.99664;27.388172;27.389919
2016-04-30;25.846667;26.51625;26.580139
2016-05-31;23.786425;24.009677;24.185349
2016-06-30;22.1675;21.587083;22.237639
2016-07-31;21.730511;21.884678;21.962903
2016-08-31;22.214919;22.669893;22.405645
2016-09-30;23.274028;23.712083;23.521111
2016-10-31;23.849234;23.823305;23.888301
2016-11-30;24.408333;24.605;24.345
2016-12-31;25.804912;26.262903;25.821505
2017-01-31;null;27.551613;26.843548
2017-02-28;25.992402;26.599148;26.483929
2017-03-31;25.878091;26.430575;26.29328
2017-04-30;24.700833;24.843889;24.982917
2017-05-31;22.786694;22.633297;22.85578
2017-06-30;22.221667;22.759426;22.566806
2017-07-31;20.48078;20.176864;20.289785
2017-08-31;20.235753;20.785753;20.587634
2017-09-30;21.366667;21.714662;21.12526
2017-10-31;24.825966;24.633737;null
2017-11-30;24.082361;23.976793;24.379891
2017-12-31;24.84429;25.468859;24.915323
2018-01-31;26.193006;26.87836;26.466667
2018-02-28;25.539435;25.912054;25.321798
2018-03-31;26.246371;26.546505;null
2018-04-30;24.051389;24.262277;24.132596
2018-05-31;22.798522;22.6507;22.931317
2018-06-30;22.327778;22.506667;22.444167
2018-07-31;21.292204;21.814475;21.913979
2018-08-31;22.117583;21.96506;22.020968
2018-09-30;22.912917;23.486806;23.066806
2018-10-31;24.060753;24.283557;24.070699
2018-11-30;24.588333;24.727778;24.547361
2018-12-31;25.19086;25.949217;25.474866
2019-01-31;26.557258;27.653921;27.435445
2019-02-28;27.684821;27.902219;28.027259
2019-03-31;26.956586;27.27538;27.243548
2019-04-30;26.11625;26.563533;26.644444
2019-05-31;24.445161;24.654862;25.080914
2019-06-30;22.549722;22.931301;22.880833
2019-07-31;21.163844;21.207802;21.511828
2019-08-31;21.487231;21.347959;21.829839
2019-09-30;22.754167;23.529752;23.485
2019-10-31;23.974194;24.604167;24.558737
2019-11-30;24.792428;24.772506;24.940278
2019-12-31;25.46129;25.890884;25.806048
2020-01-31;25.946389;26.589101;26.290229
2020-02-29;26.505603;26.324281;26.77773
2020-03-31;25.276479;25.717732;25.223656
2020-04-30;24.326806;25.013218;24.568889
2020-05-31;22.611828;null;22.863306
2020-06-30;22.180833;null;22.655139
2020-07-31;21.342607;null;21.864516
2020-08-31;21.456317;null;21.605645
2020-09-30;22.945556;23.725519;23.745278
2020-10-31;24.260349;null;24.410618
2020-11-30;24.112083;null;24.557222
2020-12-31;26.008333;25.981005;26.580242
2021-01-31;25.846102;null;26.388575
2021-02-28;25.465625;26.191917;25.811756
2021-03-31;25.730645;26.076402;26.360349
2021-04-30;24.44125;24.049911;24.807778
2021-05-31;23.092742;null;23.624866
2021-06-30;21.668611;21.151021;22.091111
2021-07-31;20.84543;20.79437;21.224866
2021-08-31;21.119892;21.634666;21.583468
